symbol,datetime,ha_open,ha_high,ha_low,ha_close
ULTRACEMCO24AUG11200CE,"2024-08-19 15:00:00",226.75414364568744,228.55,226.75414364568744,228.55
ULTRACEMCO24AUG11200CE,"2024-08-19 14:59:00",228.13328729137487,228.55,222.2,225.375
ULTRACEMCO24AUG11200CE,"2024-08-19 14:58:00",232.06657458274975,232.06657458274975,224.2,224.2
ULTRACEMCO24AUG11200CE,"2024-08-19 14:57:00",240.49564916549951,240.49564916549951,220.05,223.6375
ULTRACEMCO24AUG11200CE,"2024-08-19 14:56:00",244.56629833099902,244.56629833099902,232.25,236.425
ULTRACEMCO24AUG11200CE,"2024-08-19 14:55:00",245.04509666199806,251.1,239,244.0875
ULTRACEMCO24AUG11200CE,"2024-08-19 14:54:00",247.04019332399608,247.04019332399608,241.05,243.05
ULTRACEMCO24AUG11200CE,"2024-08-19 14:53:00",250.26788664799216,250.26788664799216,241.05,243.8125
ULTRACEMCO24AUG11200CE,"2024-08-19 14:52:00",253.81077329598435,253.81077329598435,241.65,246.725
ULTRACEMCO24AUG11200CE,"2024-08-19 14:51:00",259.6840465919687,259.6840465919687,242.6,247.9375
ULTRACEMCO24AUG11200CE,"2024-08-19 14:50:00",264.41809318393746,264.41809318393746,245.8,254.95
ULTRACEMCO24AUG11200CE,"2024-08-19 14:49:00",264.836186367875,264.836186367875,264,264
ULTRACEMCO24AUG11200CE,"2024-08-19 14:48:00",265.67237273574995,265.67237273574995,264,264
ULTRACEMCO24AUG11200CE,"2024-08-19 14:47:00",267.34474547149995,267.34474547149995,264,264
ULTRACEMCO24AUG11200CE,"2024-08-19 14:46:00",268.9144909429999,268.9144909429999,264,265.775
ULTRACEMCO24AUG11200CE,"2024-08-19 14:45:00",269.30398188599986,269.5,267.55,268.525
ULTRACEMCO24AUG11200CE,"2024-08-19 14:44:00",269.1079637719998,269.5,269.1079637719998,269.5
ULTRACEMCO24AUG11200CE,"2024-08-19 14:43:00",268.71592754399956,269.5,268.71592754399956,269.5
ULTRACEMCO24AUG11200CE,"2024-08-19 14:42:00",267.0693550879991,272.45,267.0693550879991,270.3625
ULTRACEMCO24AUG11200CE,"2024-08-19 14:41:00",265.7887101759982,270,265.7887101759982,268.35
ULTRACEMCO24AUG11200CE,"2024-08-19 14:40:00",265.3524203519963,266.7,265.3524203519963,266.225
ULTRACEMCO24AUG11200CE,"2024-08-19 14:39:00",264.95484070399255,265.75,264.95484070399255,265.75
