,symbol,datetime,enabled,fail_count
462,TRENT24JUN4350CE,2024-05-30 15:15:00,True,0
463,TRENT24JUN4550PE,2024-06-13 13:15:00,True,0
464,TRENT24JUN4800PE,2024-06-13 13:15:00,True,0
465,ULTRACEMCO24JUN11400CE,2024-06-13 13:15:00,True,0
466,ULTRACEMCO24JUN9600PE,2024-06-13 13:15:00,True,0
467,ULTRACEMCO24JUN9800CE,2024-06-13 09:20:00,True,1
468,ULTRACEMCO24JUN9800PE,2024-06-13 13:15:00,True,0
469,ABB24JUN7100PE,2024-04-25 09:15:00,True,0
470,ABB24JUN7150CE,2024-05-03 09:15:00,True,0
471,BAJFINANCE24JUN6400PE,2024-06-13 13:15:00,True,0
472,BAJFINANCE24JUN6450CE,2024-06-05 15:15:00,True,0
473,BAJFINANCE24JUN6500CE,2024-06-13 13:15:00,True,0
474,BAJFINANCE24JUN6550PE,2024-06-13 13:15:00,True,0
475,BAJFINANCE24JUN6750CE,2024-06-13 13:15:00,True,0
476,BANKNIFTY2461249300PE,2024-06-12 15:15:00,True,0
477,BANKNIFTY2461249600PE,2024-06-12 15:15:00,True,0
478,EICHERMOT24JUN4300CE,2024-06-06 15:15:00,True,0
479,EICHERMOT24JUN4350CE,2024-06-06 15:15:00,True,0
480,EICHERMOT24JUN4500CE,2024-06-13 13:15:00,True,0
481,EICHERMOT24JUN4750PE,2024-06-13 13:15:00,True,0
482,FINNIFTY2461822000PE,2024-06-13 13:15:00,True,0
483,INFY24JUN1380PE,2024-06-13 13:15:00,True,0
484,INFY24JUN1480CE,2024-06-13 13:15:00,True,0
485,INFY24JUN1600CE,2024-06-13 13:15:00,True,0
486,LTIM24JUN4450PE,2024-06-13 13:15:00,True,0
487,LTIM24JUN4500CE,2024-06-13 13:15:00,True,0
488,LTIM24JUN4500PE,2024-06-13 13:15:00,True,0
489,LTIM24JUN4650CE,2024-06-13 09:20:00,True,1
490,MARUTI24JUN12500PE,2024-06-13 13:15:00,True,0
491,MIDCPNIFTY24JUN11875CE,2024-06-13 13:15:00,True,0
492,NIFTY2461323200PE,2024-06-13 13:15:00,True,0
493,OFSS24JUN7800CE,2024-06-07 15:15:00,True,0
494,PIDILITIND24JUN3260PE,2024-06-10 15:15:00,True,2
495,PIIND24JUN3450CE,2024-06-13 09:20:00,True,1
496,PIIND24JUN3700PE,2024-06-13 13:15:00,True,0
497,RELIANCE24JUN2760PE,2024-06-13 13:15:00,True,0
498,RELIANCE24JUN2860CE,2024-06-13 13:15:00,True,0
499,RELIANCE24JUN2880CE,2024-06-13 13:15:00,True,0
500,SHREECEM24JUN26000PE,2024-06-13 13:15:00,True,0
501,SIEMENS24JUN6100PE,2024-06-13 09:20:00,True,1
502,SIEMENS24JUN6150PE,2024-06-13 13:15:00,True,0
503,TRENT24JUN4300PE,2024-06-13 13:15:00,True,0
504,TRENT24JUN5150PE,2024-06-13 13:15:00,True,0
505,ULTRACEMCO24JUN10300CE,2024-06-13 13:15:00,True,0
506,ULTRACEMCO24JUN10600CE,2024-06-13 13:15:00,True,0
507,ULTRACEMCO24JUN11200PE,2024-06-13 13:15:00,True,0
508,ABB24JUN7150PE,2024-06-06 15:15:00,True,0
509,ABB24JUN7500CE,2024-06-11 15:15:00,True,0
510,ASIANPAINT24JUN2780CE,2024-06-13 13:15:00,True,0
511,ASIANPAINT24JUN2920CE,2024-06-13 13:15:00,True,0
512,BAJFINANCE24JUN6950PE,2024-06-13 13:15:00,True,0
513,BAJFINANCE24JUN7150PE,2024-06-13 13:15:00,True,0
514,BANKNIFTY2461249000PE,2024-06-12 15:15:00,True,0
515,BANKNIFTY2461249200CE,2024-06-12 15:15:00,True,0
516,BANKNIFTY2461250000CE,2024-06-12 15:15:00,True,0
517,BANKNIFTY2461250200PE,2024-06-12 15:15:00,True,0
518,BOSCHLTD24JUN28500PE,2024-06-13 13:15:00,True,0
519,BOSCHLTD24JUN28750PE,2024-06-05 15:15:00,True,0
520,BOSCHLTD24JUN29250PE,2024-06-13 09:20:00,True,1
521,BOSCHLTD24JUN31500PE,2024-06-13 13:15:00,True,0
522,BOSCHLTD24JUN31750PE,2024-06-13 13:15:00,True,0
523,BRITANNIA24JUN5100CE,2024-06-13 13:15:00,True,0
524,BRITANNIA24JUN5200CE,2024-06-13 13:15:00,True,0
525,BRITANNIA24JUN5500CE,2024-06-13 13:15:00,True,0
526,EICHERMOT24JUN4450PE,2024-06-13 13:15:00,True,0
527,HEROMOTOCO24JUN5000CE,2024-06-13 13:15:00,True,0
528,INFY24JUN1300CE,2024-06-13 09:20:00,True,1
529,INFY24JUN1520CE,2024-06-13 13:15:00,True,0
530,LTIM24JUN4450CE,2024-06-04 15:15:00,True,0
531,MARUTI24JUN11900CE,2024-06-13 09:20:00,True,1
532,MARUTI24JUN12200PE,2024-06-13 13:15:00,True,0
533,MARUTI24JUN12300CE,2024-06-13 13:15:00,True,0
534,NIFTY2461322700PE,2024-06-13 13:15:00,True,0
535,NIFTY2461322900PE,2024-06-13 13:15:00,True,0
536,NIFTY2461323350PE,2024-06-13 13:15:00,True,0
537,NIFTY2461323400PE,2024-06-13 13:15:00,True,0
538,NIFTY2461323500CE,2024-06-13 13:15:00,True,0
539,OFSS24JUN7600CE,2024-06-13 13:15:00,True,0
540,OFSS24JUN7600PE,2024-06-13 13:15:00,True,0
541,OFSS24JUN8800CE,2024-06-13 09:20:00,True,1
542,PIDILITIND24JUN2980PE,2024-06-13 13:15:00,True,0
543,PIDILITIND24JUN3000CE,2024-06-13 13:15:00,True,0
544,PIDILITIND24JUN3060PE,2024-06-13 13:15:00,True,0
545,PIDILITIND24JUN3100PE,2024-06-13 13:15:00,True,0
546,PIDILITIND24JUN3200CE,2024-06-13 13:15:00,True,0
547,PIIND24JUN3350CE,2024-05-02 09:15:00,True,0
548,PIIND24JUN3350PE,2024-06-13 09:20:00,True,1
549,PIIND24JUN3800CE,2024-06-13 13:15:00,True,0
550,PIIND24JUN3900CE,2024-06-13 13:15:00,True,0
551,RELIANCE24JUN2780CE,2024-06-13 13:15:00,True,0
552,RELIANCE24JUN2860PE,2024-06-13 13:15:00,True,0
553,RELIANCE24JUN2920PE,2024-06-13 13:15:00,True,0
554,RELIANCE24JUN3120PE,2024-06-13 13:15:00,True,0
555,SHREECEM24JUN24750PE,2024-06-06 15:15:00,True,0
556,SHREECEM24JUN25000PE,2024-06-13 13:15:00,True,0
557,SHREECEM24JUN27000PE,2024-06-13 13:15:00,True,0
558,SIEMENS24JUN6400CE,2024-06-13 13:15:00,True,0
559,TCS24JUN3700PE,2024-06-13 13:15:00,True,0
560,TCS24JUN4100CE,2024-06-13 13:15:00,True,0
561,TRENT24JUN4800CE,2024-06-13 13:15:00,True,0
562,TRENT24JUN4900PE,2024-06-13 13:15:00,True,0
563,ULTRACEMCO24JUN10800CE,2024-06-13 13:15:00,True,0
564,ASIANPAINT24JUN2800PE,2024-06-13 13:15:00,True,0
565,ASIANPAINT24JUN2860PE,2024-06-13 13:15:00,True,0
566,ASIANPAINT24JUN2960PE,2024-06-13 13:15:00,True,0
567,ASIANPAINT24JUN2980CE,2024-06-13 13:15:00,True,0
568,ASIANPAINT24JUN3060CE,2024-06-13 13:15:00,True,0
569,ASIANPAINT24JUN3060PE,2024-06-13 13:15:00,True,0
570,BAJFINANCE24JUN6600PE,2024-06-13 13:15:00,True,0
571,BAJFINANCE24JUN6700CE,2024-06-13 13:15:00,True,0
572,BAJFINANCE24JUN7150CE,2024-06-13 13:15:00,True,0
573,BANKNIFTY2461248700CE,2024-06-12 15:15:00,True,0
574,BANKNIFTY2461250100PE,2024-06-12 15:15:00,True,0
575,BOSCHLTD24JUN30750PE,2024-06-13 13:15:00,True,0
576,BOSCHLTD24JUN31500CE,2024-06-13 13:15:00,True,0
577,BRITANNIA24JUN4950PE,2024-06-06 15:15:00,True,0
578,BRITANNIA24JUN5000CE,2024-06-05 15:15:00,True,0
579,BRITANNIA24JUN5100PE,2024-06-13 13:15:00,True,0
580,BRITANNIA24JUN5500PE,2024-06-13 13:15:00,True,0
581,EICHERMOT24JUN4450CE,2024-06-07 15:15:00,True,0
582,FINNIFTY2461821900PE,2024-06-13 13:15:00,True,0
583,HEROMOTOCO24JUN4750PE,2024-06-13 09:20:00,True,1
584,INFY24JUN1320PE,2024-06-13 13:15:00,True,0
585,INFY24JUN1460PE,2024-06-13 13:15:00,True,0
586,INFY24JUN1560PE,2024-06-13 13:15:00,True,0
587,LTIM24JUN4700CE,2024-06-13 13:15:00,True,0
588,LTIM24JUN4950PE,2024-06-13 13:15:00,True,0
