,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,42.036432016089634
18,46.74345672484914
19,60.900672381360025
20,74.55181023720351
21,73.48792270531402
22,69.70048309178745
23,59.652173913043484
24,45.97101449275362
25,37.00483091787439
26,33.758454106280205
27,29.12077294685991
28,34.31884057971017
29,38.93327593628931
30,41.107829038287214
31,45.29629087851945
32,49.677378186032584
33,48.36221982509856
34,46.12997240680836
35,47.28280025719141
36,42.16451591600002
37,35.13129384388649
38,38.26563785009309
39,47.0471467519087
40,49.497543577305535
41,56.65940852698567
42,62.3887587822014
43,52.93260473588342
44,41.58321948998178
45,34.09886894225094
46,24.834200787603564
47,16.279429670908314
48,17.246416760906076
49,20.28580240567495
50,21.379236489496645
51,20.000000000000057
52,22.043795620438004
53,20.14598540145989
54,20.291970802919717
55,19.90267639902677
56,18.96188158961884
57,16.184524470558962
58,13.873088947444609
59,9.719353703685032
60,6.842535093029073
61,6.4732540472774245
62,8.334982141004545
63,12.011452729239839
64,12.208983593437381
65,11.173506611947117
66,12.431136516885992
67,10.442287542181598
68,8.276700436660766
69,9.513482045856156
70,20.8413562679328
71,28.905483981704045
72,39.400025556028936
73,46.30849691202414
74,50.27601637809755
75,48.81986008550327
76,48.74193548387093
77,46.83870967741932
78,45.80645161290319
79,50.32258064516126
80,46.14909655248861
81,38.17947012526326
82,33.54738942467575
83,35.234702813821585
84,32.502916660870525
85,35.88607817289802
86,37.336395195307375
87,35.655670421799115
88,34.76307844027792
89,34.20236241363002
90,30.107767819035427
91,28.643143497229108
92,32.37799198207758
93,32.264843328156374
94,41.02459047025648
95,41.27744837017322
96,48.75284319736478
97,42.41040622257486
98,42.689075630252105
99,33.33333333333334
100,34.901960784313715
101,36.63865546218487
102,49.93697478991597
103,53.328766289124395
104,63.859344568181356
105,71.75181720710428
106,77.41097211575206
107,70.89032406873483
108,66.04774535809011
109,63.28912466843491
110,56.12732095490708
111,51.199615896228934
112,52.56680493352951
113,54.21329956700745
114,47.86083127503112
115,50.93501762507951
116,53.25138844579459
117,61.32321531679459
118,65.99353656843321
119,72.47133472069201
120,76.70951156812338
121,79.58868894601542
122,75.2185089974293
123,70.69408740359896
124,65.9640102827763
125,59.38303341902311
126,52.03084832904881
127,51.670951156812315
128,52.69922879177376
129,52.133676092544974
130,48.120054752445476
131,51.61283518634018
132,55.433221479911445
133,61.74205646144766
134,68.37428346847204
135,83.20746540940448
136,86.8020149904402
137,86.66871137447352
138,87.1066377752926
139,83.38537914319997
140,75.04618964574553
141,68.49036085363824
142,56.838166510757745
143,47.97006548175868
144,44.53026860884674
145,42.655823284915904
146,36.481849825013796
147,37.08101112762772
148,36.739131700544945
149,37.3667877973086
150,34.864815410720844
151,39.15428692684027
152,38.77813232262107
153,40.11818715190263
154,42.12417647948208
