datetime,open,high,low,close,ha_open,ha_high,ha_low,ha_close
"2024-08-22 09:15:00",323.5,330.75,254.6,316.55,275.544276706746,330.75,254.6,306.35
"2024-08-22 09:16:00",316.55,323.6,315.55,321.5,290.947138353373,323.6,290.947138353373,319.3
"2024-08-22 09:17:00",320.95,327,312.55,315.3,305.1235691766865,327,305.1235691766865,318.95
"2024-08-22 09:18:00",315.7,319.3,311.5,319,312.03678458834327,319.3,311.5,316.375
"2024-08-22 09:19:00",319,321,317.5,317.9,314.20589229417163,321,314.20589229417163,318.85
"2024-08-22 09:20:00",313.8,316.55,295.2,301,316.5279461470858,316.55,295.2,306.6375
"2024-08-22 09:21:00",301,302.35,299,302.35,311.58272307354287,311.58272307354287,299,301.175
"2024-08-22 09:22:00",308.7,308.7,295,298.25,306.3788615367714,308.7,295,302.6625
"2024-08-22 09:23:00",298.25,298.25,296,296,304.5206807683857,304.5206807683857,296,297.125
"2024-08-22 09:24:00",299.3,307.95,292.55,298,300.8228403841929,307.95,292.55,299.45
"2024-08-22 09:25:00",298.8,302.5,293.1,298.8,300.13642019209647,302.5,293.1,298.3
"2024-08-22 09:26:00",298.8,300.25,298.8,299.95,299.2182100960482,300.25,298.8,299.45
"2024-08-22 09:27:00",310,310.85,301.4,303.05,299.33410504802407,310.85,299.33410504802407,306.325
"2024-08-22 09:28:00",303.05,303.75,302.5,303.75,302.829552524012,303.75,302.5,303.2625
"2024-08-22 09:29:00",309.65,320,308.8,320,303.04602626200597,320,303.04602626200597,314.6125
"2024-08-22 09:30:00",321.4,324.65,321.4,324.3,308.829263131003,324.65,308.829263131003,322.9375
"2024-08-22 09:31:00",333.05,333.05,324.1,325.15,315.8833815655015,333.05,315.8833815655015,328.8375
"2024-08-22 09:32:00",325.15,331.8,318.75,321.45,322.36044078275074,331.8,318.75,324.2875
"2024-08-22 09:33:00",319.7,323.5,319.7,323.25,323.3239703913754,323.5,319.7,321.5375
"2024-08-22 09:34:00",331.15,331.15,323.85,326.4,322.4307351956877,331.15,322.4307351956877,328.1375
"2024-08-22 09:35:00",326.4,327.75,326.1,326.2,325.2841175978439,327.75,325.2841175978439,326.6125
"2024-08-22 09:36:00",332.65,338.65,331.5,337.45,325.94830879892197,338.65,325.94830879892197,335.0625
"2024-08-22 09:37:00",337.45,337.45,333.7,334.1,330.505404399461,337.45,330.505404399461,335.67499999999995
"2024-08-22 09:38:00",333.75,335,325.6,326.25,333.09020219973047,335,325.6,330.15
"2024-08-22 09:39:00",326.4,326.4,323,323.5,331.6201010998652,331.6201010998652,323,324.825
"2024-08-22 09:40:00",321,333.25,321,329.65,328.22255054993263,333.25,321,326.225
"2024-08-22 09:41:00",328.75,329.65,328.75,329,327.22377527496633,329.65,327.22377527496633,329.0375
"2024-08-22 09:42:00",320.35,323.3,317.7,322,328.1306376374832,328.1306376374832,317.7,320.83750000000003
"2024-08-22 09:43:00",322,324,322,324,324.4840688187416,324.4840688187416,322,323
"2024-08-22 09:44:00",323.25,327.85,317.1,319.9,321.855004380074,327.85,317.1,322.025
"2024-08-22 09:45:00",317.75,322.5,314.05,315.7,321.940002190037,322.5,314.05,317.5
"2024-08-22 09:46:00",315.7,316.6,305.2,308.4,319.72000109501846,319.72000109501846,305.2,311.475
"2024-08-22 09:47:00",308.4,313.8,308.4,311.8,315.59750054750924,315.59750054750924,308.4,310.6
"2024-08-22 09:48:00",312.45,314.85,295,298.45,313.0987502737546,314.85,295,305.1875
"2024-08-22 09:49:00",298.45,299.15,290,290,309.1431251368773,309.1431251368773,290,294.4
"2024-08-22 09:50:00",289.7,294,286.2,292,301.77156256843864,301.77156256843864,286.2,290.475
"2024-08-22 09:51:00",292.85,295,280.8,285.75,296.12328128421933,296.12328128421933,280.8,288.6
"2024-08-22 09:52:00",285.75,285.75,281.35,283.05,292.3616406421097,292.3616406421097,281.35,283.975
"2024-08-22 09:53:00",281.15,291.95,281.15,289.25,288.16832032105486,291.95,281.15,285.875
"2024-08-22 09:54:00",289.25,289.9,288.6,289,287.0216601605274,289.9,287.0216601605274,289.1875
"2024-08-22 09:55:00",288.75,292.1,279.95,286.25,288.1045800802637,292.1,279.95,286.7625
"2024-08-22 09:56:00",286.25,288.05,285.85,288.05,287.43354004013185,288.05,285.85,287.05
"2024-08-22 09:57:00",285.4,291.75,280,291.75,287.2417700200659,291.75,280,287.225
"2024-08-22 09:58:00",291.7,293.95,290.8,293.7,287.233385010033,293.95,287.233385010033,292.5375
"2024-08-22 09:59:00",300.3,309.45,296.55,307.5,289.8854425050165,309.45,289.8854425050165,303.45
"2024-08-22 10:00:00",307.5,313.15,307.5,312.4,296.6677212525083,313.15,296.6677212525083,310.1375
"2024-08-22 10:01:00",311.65,314.15,308.55,312.3,303.40261062625416,314.15,303.40261062625416,311.66249999999997
"2024-08-22 10:02:00",312.3,313.1,299.15,301.2,307.5325553131271,313.1,299.15,306.4375
"2024-08-22 10:03:00",301,303.05,292.5,301.25,306.98502765656355,306.98502765656355,292.5,299.45
"2024-08-22 10:04:00",301.25,302.7,301.25,301.95,303.21751382828177,303.21751382828177,301.25,301.7875
"2024-08-22 10:05:00",302,307.3,298,306.15,302.5025069141409,307.3,298,303.36249999999995
"2024-08-22 10:06:00",306.6,306.6,304.2,305,302.9325034570704,306.6,302.9325034570704,305.6
"2024-08-22 10:07:00",302.05,303,297,298.25,304.2662517285352,304.2662517285352,297,300.075
"2024-08-22 10:08:00",298.25,301.5,298.25,301.5,302.1706258642676,302.1706258642676,298.25,299.875
"2024-08-22 10:09:00",299.4,301,296.95,300,301.0228129321338,301.0228129321338,296.95,299.3375
"2024-08-22 10:10:00",300,300.35,299.6,299.6,300.1801564660669,300.35,299.6,299.88750000000005
"2024-08-22 10:11:00",291,297.1,287.5,295,300.03382823303343,300.03382823303343,287.5,292.65
"2024-08-22 10:12:00",295,296.7,295,296.7,296.3419141165167,296.7,295,295.85
"2024-08-22 10:13:00",303.55,306.65,300.75,303.15,296.09595705825836,306.65,296.09595705825836,303.525
"2024-08-22 10:14:00",303.15,303.15,301.25,301.25,299.81047852912917,303.15,299.81047852912917,302.2
"2024-08-22 10:15:00",302.65,303.25,296.15,299.8,301.0052392645646,303.25,296.15,300.4625
"2024-08-22 10:16:00",300.25,300.25,294.65,296,300.7338696322823,300.7338696322823,294.65,297.7875
"2024-08-22 10:17:00",296,298.65,292,294.9,299.2606848161412,299.2606848161412,292,295.3875
"2024-08-22 10:18:00",294.9,294.9,294.9,294.9,297.32409240807056,297.32409240807056,294.9,294.9
"2024-08-22 10:19:00",299.25,299.85,293.45,296.55,296.11204620403527,299.85,293.45,297.275
"2024-08-22 10:20:00",297,297.55,295.5,296.6,296.6935231020176,297.55,295.5,296.6625
"2024-08-22 10:21:00",296.05,299.15,295,296.8,296.6780115510088,299.15,295,296.75
"2024-08-22 10:22:00",296.8,297.25,296.45,297.25,296.7140057755044,297.25,296.45,296.9375
"2024-08-22 10:23:00",301.75,301.85,293.8,296.15,296.8257528877522,301.85,293.8,298.38750000000005
"2024-08-22 10:24:00",296.15,296.15,295.8,295.8,297.6066264438761,297.6066264438761,295.8,295.97499999999997
"2024-08-22 10:25:00",305.8,305.8,301.2,302.25,296.79081322193804,305.8,296.79081322193804,303.7625
"2024-08-22 10:26:00",302.25,302.25,302.25,302.25,300.276656610969,302.25,300.276656610969,302.25
"2024-08-22 10:27:00",303.95,304.65,298.15,299.3,301.2633283054845,304.65,298.15,301.5125
"2024-08-22 10:28:00",299.3,299.5,299.3,299.5,301.38791415274227,301.38791415274227,299.3,299.4
"2024-08-22 10:29:00",293.9,299.8,290,297.1,300.3939570763711,300.3939570763711,290,295.20000000000005
"2024-08-22 10:30:00",297.1,298.2,297.1,298,297.7969785381856,298.2,297.1,297.6
"2024-08-22 10:31:00",296.8,303.05,296.8,301.9,297.6984892690928,303.05,296.8,299.63750000000005
"2024-08-22 10:32:00",301.9,307.3,301.75,305,298.6679946345464,307.3,298.6679946345464,303.9875
"2024-08-22 10:33:00",305,315.6,305,311.95,301.3277473172732,315.6,301.3277473172732,309.3875
"2024-08-22 10:34:00",311.35,316.55,311.35,316.55,305.3576236586366,316.55,305.3576236586366,313.95000000000005
"2024-08-22 10:35:00",312.9,313.25,309,309.65,309.65381182931833,313.25,309,311.2
"2024-08-22 10:36:00",309.65,310.35,308.85,310.35,310.4269059146592,310.4269059146592,308.85,309.8
"2024-08-22 10:37:00",307.35,317.15,306.25,315.8,310.1134529573296,317.15,306.25,311.6375
"2024-08-22 10:38:00",315.8,315.8,314.35,315.65,310.87547647866484,315.8,310.87547647866484,315.4
"2024-08-22 10:39:00",316.1,316.1,311,312,313.1377382393324,316.1,311,313.8
"2024-08-22 10:40:00",312,313.6,312,313.45,313.46886911966624,313.6,312,312.7625
"2024-08-22 10:41:00",313.2,316.2,311.15,314.05,313.1156845598331,316.2,311.15,313.65
"2024-08-22 10:42:00",314.05,315.75,314.05,315.75,313.38284227991653,315.75,313.38284227991653,314.9
"2024-08-22 10:43:00",318.2,322.4,317.5,321.2,314.14142113995825,322.4,314.14142113995825,319.825
"2024-08-22 10:44:00",321.2,321.9,321.1,321.8,316.9832105699791,321.9,316.9832105699791,321.5
"2024-08-22 10:45:00",321.7,326.15,316.65,318,319.24160528498953,326.15,316.65,320.625
"2024-08-22 10:46:00",317.05,320.7,315.85,315.95,319.93330264249477,320.7,315.85,317.3875
"2024-08-22 10:47:00",315.95,318.9,314.05,314.9,318.6604013212474,318.9,314.05,315.94999999999993
"2024-08-22 10:48:00",314.9,318.4,314.9,317.5,317.30520066062365,318.4,314.9,316.42499999999995
"2024-08-22 10:49:00",318.95,321.4,316.25,317.6,316.8651003303118,321.4,316.25,318.54999999999995
"2024-08-22 10:50:00",317.2,318.7,317.1,318,317.7075501651559,318.7,317.1,317.75
"2024-08-22 10:51:00",312.45,315.2,311.45,313.35,317.72877508257795,317.72877508257795,311.45,313.11249999999995
"2024-08-22 10:52:00",313.1,313.7,313.1,313.5,315.42063754128895,315.42063754128895,313.1,313.35
"2024-08-22 10:53:00",308.75,310.3,304.2,307.95,314.3853187706445,314.3853187706445,304.2,307.8
"2024-08-22 10:54:00",307.95,308.1,306.6,308.1,311.09265938532224,311.09265938532224,306.6,307.6875
"2024-08-22 10:55:00",310.5,314,309.4,311.9,309.3900796926611,314,309.3900796926611,311.45
"2024-08-22 10:56:00",312.7,312.95,312.65,312.65,310.42003984633055,312.95,310.42003984633055,312.73749999999995
"2024-08-22 10:57:00",314.25,316.15,312.55,312.55,311.5787699231653,316.15,311.5787699231653,313.875
"2024-08-22 10:58:00",312.55,312.55,311,311.05,312.72688496158264,312.72688496158264,311,311.7875
"2024-08-22 10:59:00",314.2,315.9,313.35,314.7,312.25719248079133,315.9,312.25719248079133,314.53749999999997
"2024-08-22 11:00:00",314.35,314.35,314.15,314.15,313.3973462403957,314.35,313.3973462403957,314.25
"2024-08-22 11:01:00",313.75,316.3,309.75,310.4,313.82367312019784,316.3,309.75,312.54999999999995
"2024-08-22 11:02:00",310.2,310.45,301.05,306.15,313.18683656009887,313.18683656009887,301.05,306.9625
"2024-08-22 11:03:00",306.1,310,305.35,309.8,310.0746682800494,310.0746682800494,305.35,307.8125
"2024-08-22 11:04:00",309.9,309.9,308,308,308.9435841400247,309.9,308,308.95
"2024-08-22 11:05:00",308.5,308.6,305,307.1,308.94679207001235,308.94679207001235,305,307.3
"2024-08-22 11:06:00",307.1,307.1,305.95,306.55,308.1233960350062,308.1233960350062,305.95,306.675
"2024-08-22 11:07:00",307.25,308.35,306,306,307.39919801750307,308.35,306,306.9
"2024-08-22 11:08:00",306,306,303.4,303.55,307.1495990087515,307.1495990087515,303.4,304.7375
"2024-08-22 11:09:00",305.05,311.8,303,311.45,305.94354950437577,311.8,303,307.825
"2024-08-22 11:10:00",311.85,311.85,310.3,310.3,306.8842747521879,311.85,306.8842747521879,311.075
"2024-08-22 11:11:00",305.5,311.6,303.9,310.95,308.97963737609393,311.6,303.9,307.9875
"2024-08-22 11:12:00",310.95,311.15,310,310,308.48356868804694,311.15,308.48356868804694,310.525
"2024-08-22 11:13:00",312.3,315.9,310.2,311.1,309.50428434402346,315.9,309.50428434402346,312.375
"2024-08-22 11:14:00",311.1,312,311.1,312,310.93964217201176,312,310.93964217201176,311.55
"2024-08-22 11:15:00",311.55,313.2,310.25,311.85,311.2448210860059,313.2,310.25,311.7125
"2024-08-22 11:16:00",311.85,313.5,310.1,310.1,311.47866054300295,313.5,310.1,311.38750000000005
"2024-08-22 11:17:00",310.1,312.4,309.15,311.35,311.43308027150147,312.4,309.15,310.75
"2024-08-22 11:18:00",311.35,311.75,311.15,311.15,311.09154013575073,311.75,311.09154013575073,311.35
"2024-08-22 11:19:00",307,309.3,306.7,307.8,311.2207700678754,311.2207700678754,306.7,307.7
"2024-08-22 11:20:00",307.8,307.8,307.2,307.2,309.46038503393765,309.46038503393765,307.2,307.5
"2024-08-22 11:21:00",310.65,312.15,310.65,311.5,308.4801925169688,312.15,308.4801925169688,311.23749999999995
"2024-08-22 11:22:00",311.5,311.5,311.45,311.45,309.8588462584844,311.5,309.8588462584844,311.475
"2024-08-22 11:23:00",314.5,315.75,310.65,311.35,310.6669231292422,315.75,310.65,313.0625
"2024-08-22 11:24:00",311.35,311.35,311.35,311.35,311.8647115646211,311.8647115646211,311.35,311.35
"2024-08-22 11:25:00",311.9,317.3,311.5,317.3,311.60735578231055,317.3,311.5,314.5
"2024-08-22 11:26:00",317.3,317.3,315.9,315.9,313.0536778911553,317.3,313.0536778911553,316.6
"2024-08-22 11:27:00",313.4,314.65,313.05,314.3,314.82683894557766,314.82683894557766,313.05,313.84999999999997
"2024-08-22 11:28:00",314.3,314.3,312.65,312.65,314.3384194727888,314.3384194727888,312.65,313.475
"2024-08-22 11:29:00",313.75,317.95,313.3,317.3,313.9067097363944,317.95,313.3,315.575
"2024-08-22 11:30:00",317.55,317.55,316.45,316.45,314.7408548681972,317.55,314.7408548681972,317
"2024-08-22 11:31:00",316.55,316.55,313.9,315.4,315.8704274340986,316.55,313.9,315.6
